alpha.vec,,,,,,,,,,
0.5,NA,0.0842,0.1634,0.2138,0.254,0.343,0.4172,0.4538,0.3906,0.4048
1,NA,0.0804,0.0984,0.152,0.2314,0.3194,0.3218,0.443,0.461,0.4116
2,NA,0.0642,0.0806,0.1228,0.0976,0.1678,0.259,0.2712,0.3538,0.3584
