alpha.vec,,,,,,,,,,
0.5,0,0.0538,0.1184,0.2998,0.4978,0.6662,0.7834,0.822,0.8482,0.8802
1,0,0.0536,0.1258,0.3072,0.6754,0.7232,0.8178,0.8662,0.8986,0.9262
2,0,0.0392,0.0974,0.4014,0.6388,0.7796,0.8684,0.9146,0.9356,0.9588
